Station Code,DateTimeStamp,TSS,F_TSS,TURB_N,F_TURB_N,SECCHI,F_SECCHI
gtmfmnut,4/21/2008 11:34,47.2,<0>,8,<0>,0.8,<0>
gtmpcnut,4/21/2008 12:37,48,<0>,11.8,<0>,0.5,<0>
gtmpcnut,4/21/2008 12:38,66.7,<0>,11.4,<0>,0.5,<0>
gtmpcnut,5/19/2008 11:00,49,<0>,12.2,<0>,,<-1>
gtmpcnut,5/19/2008 13:30,49,<0>,11.9,<0>,,<-1>
gtmpcnut,5/19/2008 16:00,60.7,<0>,13.4,<0>,,<-1>
gtmpcnut,5/19/2008 18:30,37.7,<0>,14,<0>,,<-1>
gtmpcnut,5/19/2008 21:00,96.3,<0>,20.4,<0>,,<-1>
gtmpcnut,5/19/2008 23:30,53.7,<0>,16.5,<0>,,<-1>
gtmpcnut,5/20/2008 2:00,45.3,<0>,14,<0>,,<-1>
gtmpcnut,5/20/2008 4:30,42.7,<0>,11.2,<0>,,<-1>
gtmpcnut,5/20/2008 7:00,40,<0>,9.8,<0>,,<-1>
gtmssnut,5/20/2008 9:13,36.4,<0>,4,<0>,1.3,<0>
gtmssnut,5/20/2008 9:14,27.8,<0>,3.4,<0>,1.3,<0>
gtmpcnut,5/20/2008 9:30,49,<0>,11.3,<0>,,<-1>
gtmpinut,5/20/2008 10:28,29,<0>,3.8,<0>,1.3,<0>
gtmpinut,5/20/2008 10:29,38.8,<0>,3.9,<0>,1.3,<0>
gtmpcnut,5/20/2008 12:00,90,<0>,13.7,<0>,,<-1>
gtmfmnut,5/20/2008 12:21,45,<0>,6.7,<0>,0.8,<0>
gtmfmnut,5/20/2008 12:22,38.8,<0>,7.1,<0>,0.8,<0>
gtmpcnut,5/20/2008 14:00,79.7,<0>,14.6,<0>,0.5,<0>
gtmpcnut,5/20/2008 14:01,56.7,<0>,16.1,<0>,0.5,<0>
gtmpcnut,6/18/2008 10:30,42.3,<0>,15.7,<0>,,<-1>
gtmpcnut,6/18/2008 13:00,33.3,<0>,14.5,<0>,,<-1>
gtmpcnut,6/18/2008 15:30,31.7,<0>,13.6,<0>,,<-1>
gtmpcnut,6/18/2008 18:00,30.3,<0>,13.3,<0>,,<-1>
gtmpcnut,6/18/2008 20:30,61,<0>,27,<0>,,<-1>
gtmpcnut,6/18/2008 23:00,61.3,<0>,18.4,<0>,,<-1>
gtmpcnut,6/19/2008 1:30,43.7,<0>,18.3,<0>,,<-1>
gtmpcnut,6/19/2008 4:00,30.3,<0>,12.4,<0>,,<-1>
gtmpcnut,6/19/2008 6:30,21.3,<0>,8.6,<0>,,<-1>
gtmssnut,6/19/2008 8:56,38,<0>,3.6,<0>,1.3,<0>
gtmssnut,6/19/2008 8:57,29.4,<0>,2.9,<0>,1.3,<0>
gtmpcnut,6/19/2008 9:00,21.3,<0>,13.2,<0>,,<-1>
gtmpinut,6/19/2008 9:56,38.6,<0>,6.9,<0>,1,<0>
gtmpinut,6/19/2008 9:57,29,<0>,5,<0>,1,<0>
gtmfmnut,6/19/2008 11:20,61.8,<0>,9.8,<0>,0.8,<0>
gtmfmnut,6/19/2008 11:21,46.4,<0>,8.5,<0>,0.8,<0>
gtmpcnut,6/19/2008 11:30,42.7,<0>,17,<0>,,<-1>
gtmpcnut,6/19/2008 12:25,55.7,<0>,16,<0>,0.4,<0>
gtmpcnut,6/19/2008 12:26,48.3,<0>,15.6,<0>,0.4,<0>
gtmpcnut,7/1/2008 9:07,31.3,<0>,15.2,<0>,,<-1>
gtmpcnut,7/1/2008 11:37,20,<0>,14.4,<0>,,<-1>
gtmpcnut,7/1/2008 14:07,12,<0>,10.6,<0>,,<-1>
gtmpcnut,7/1/2008 16:37,13.3,<0>,10.6,<0>,,<-1>
gtmpcnut,7/1/2008 19:07,30.3,<0>,18.8,<0>,,<-1>
gtmpcnut,7/1/2008 21:37,79.3,<0>,20.6,<0>,,<-1>
gtmpcnut,7/2/2008 0:07,60.7,<0>,23.3,<0>,,<-1>
gtmpcnut,7/2/2008 2:37,24.7,<0>,11.5,<0>,,<-1>
gtmpcnut,7/2/2008 5:07,21,<0>,9.6,<0>,,<-1>
gtmpcnut,7/2/2008 7:37,33.3,<0>,13.8,<0>,,<-1>
gtmssnut,7/2/2008 7:51,63.2,<0>,13.6,<0>,0.8,<0>
gtmssnut,7/2/2008 7:52,67.6,<0>,13.4,<0>,0.8,<0>
gtmpinut,7/2/2008 8:56,42.4,<0>,9.5,<0>,0.8,<0>
gtmpinut,7/2/2008 8:57,48.2,<0>,8.7,<0>,0.8,<0>
gtmpcnut,7/2/2008 10:07,65.8,<0>,17.4,<0>,,<-1>
gtmfmnut,7/2/2008 10:41,44.4,<0>,10.5,<0>,0.7,<0>
gtmfmnut,7/2/2008 10:42,38,<0>,9.5,<0>,0.7,<0>
gtmpcnut,7/2/2008 12:06,64.3,<0>,17.7,<0>,0.4,<0>
gtmpcnut,7/2/2008 12:07,52.7,<0>,17.2,<0>,0.4,<0>
gtmpinut,8/18/2008 9:41,68,<0>,9.1,<0>,0.8,<0>
gtmpinut,8/18/2008 9:42,68.2,<0>,9.4,<0>,0.8,<0>
gtmpcnut,8/18/2008 10:11,100.7,<0>,22.3,<0>,0.5,<0>
gtmpcnut,8/18/2008 10:12,121,<0>,23.3,<0>,0.5,<0>
gtmssnut,8/18/2008 10:43,45.6,<0>,7.6,<0>,1.1,<0>
gtmssnut,8/18/2008 10:44,58.6,<0>,7.9,<0>,1.1,<0>
gtmfmnut,8/18/2008 11:29,71.8,<0>,9.1,<0>,0.5,<0>
gtmfmnut,8/18/2008 11:30,67.6,<0>,9.9,<0>,0.5,<0>
gtmpcnut,8/25/2008 9:05,17.7,<0>,10.5,<0>,,<-1>
gtmpcnut,8/25/2008 11:35,16,<0>,10.3,<0>,,<-1>
gtmpcnut,8/25/2008 14:05,17.3,<0>,10.5,<0>,,<-1>
gtmpcnut,8/25/2008 16:35,21.3,<0>,10.9,<0>,,<-1>
gtmpcnut,8/25/2008 19:05,16.7,<0>,12.9,<0>,,<-1>
gtmpcnut,8/25/2008 21:35,22.3,<0>,19.6,<0>,,<-1>
gtmpcnut,8/26/2008 0:05,9.3,<0>,17.4,<0>,,<-1>
gtmpcnut,8/26/2008 2:35,20,<0>,12.8,<0>,,<-1>
gtmpcnut,8/26/2008 5:05,16.3,<0>,9,<0>,,<-1>
gtmpcnut,8/26/2008 7:35,8.3,<0>,7.3,<0>,,<-1>
gtmpcnut,8/26/2008 10:05,29.7,<0>,11.2,<0>,,<-1>
gtmpcnut,9/17/2008 13:05,87,<0>,17,<0>,,<-1>
gtmpcnut,9/17/2008 15:35,67,<0>,13.7,<0>,,<-1>
gtmpcnut,9/17/2008 18:05,31.7,<0>,9.3,<0>,,<-1>
gtmpcnut,9/17/2008 20:35,29.3,<0>,10.8,<0>,,<-1>
gtmpcnut,9/17/2008 23:05,70,<0>,15.8,<0>,,<-1>
gtmpcnut,9/18/2008 1:35,55,<0>,11.2,<0>,,<-1>
gtmpcnut,9/18/2008 4:05,53,<0>,12.7,<0>,,<-1>
gtmpcnut,9/18/2008 6:35,17.7,<0>,10.4,<0>,,<-1>
gtmpcnut,9/18/2008 9:05,28.3,<0>,13.4,<0>,,<-1>
gtmssnut,9/18/2008 11:11,57.2,<0>,12.7,<0>,0.7,<0>
gtmssnut,9/18/2008 11:12,55.2,<0>,14.8,<0>,0.7,<0>
gtmpcnut,9/18/2008 11:35,90,<0>,31.2,<0>,,<-1>
gtmpinut,9/18/2008 12:06,45.4,<0>,12.7,<0>,0.8,<0>
gtmpinut,9/18/2008 12:07,39.2,<1> (CHB),11.7,<0>,0.8,<0>
gtmfmnut,9/18/2008 13:43,77.2,<0>,16.8,<0>,0.6,<0>
gtmfmnut,9/18/2008 13:44,74.6,<0>,14.2,<0>,0.6,<0>
gtmpcnut,9/18/2008 14:05,41,<0>,14.5,<0>,,<-1>
gtmpcnut,9/18/2008 14:55,83,<1> (CHB),12.5,<0>,0.4,<0>
gtmpcnut,9/18/2008 14:56,57,<1> (CHB),12.1,<0>,0.4,<0>
gtmpcnut,10/13/2008 10:15,64.7,<0>,17.9,<0>,,<-1>
gtmpcnut,10/13/2008 12:45,62.7,<0>,9.4,<0>,,<-1>
gtmpcnut,10/13/2008 15:15,34.7,<0>,8.4,<0>,,<-1>
gtmpcnut,10/13/2008 17:45,13.7,<0>,5.4,<0>,,<-1>
gtmpcnut,10/13/2008 20:15,99.3,<0>,34.2,<0>,,<-1>
gtmpcnut,10/13/2008 22:45,66.3,<0>,20.4,<0>,,<-1>
gtmpcnut,10/14/2008 1:15,50,<0>,13.8,<0>,,<-1>
gtmpcnut,10/14/2008 3:45,37,<0>,14.3,<0>,,<-1>
gtmpcnut,10/14/2008 6:15,15.3,<0>,7.7,<0>,,<-1>
gtmssnut,10/14/2008 8:18,62.8,<0>,15.7,<0>,0.6,<0>
gtmssnut,10/14/2008 8:19,70,<0>,14.4,<0>,0.6,<0>
gtmpcnut,10/14/2008 8:45,84,<0>,30.5,<0>,,<-1>
gtmpinut,10/14/2008 9:18,38,<0>,10.2,<0>,1.2,<0>
gtmpinut,10/14/2008 9:19,42.4,<0>,11.1,<0>,1.2,<0>
gtmfmnut,10/14/2008 10:48,48.4,<0>,11,<0>,1.3,<0>
gtmfmnut,10/14/2008 10:49,50.4,<0>,11.5,<0>,1.3,<0>
gtmpcnut,10/14/2008 11:15,63.3,<0>,17.6,<0>,,<-1>
gtmpcnut,10/14/2008 11:34,90,<0>,16.7,<0>,0.5,<0>
gtmpcnut,10/14/2008 11:35,58.7,<0>,14.8,<0>,0.5,<0>
gtmpcnut,11/10/2008 9:50,69,<0>,6.5,<0>,,<-1>
gtmpcnut,11/10/2008 12:20,43.3,<0>,5.2,<0>,,<-1>
gtmpcnut,11/10/2008 14:50,43,<0>,4.6,<0>,,<-1>
gtmpcnut,11/10/2008 17:20,34,<0>,5.8,<0>,,<-1>
gtmpcnut,11/10/2008 19:50,54,<0>,7.7,<0>,,<-1>
gtmpcnut,11/10/2008 22:20,48.3,<0>,6.6,<0>,,<-1>
gtmpcnut,11/11/2008 0:50,32.7,<0>,4.5,<0>,,<-1>
gtmpcnut,11/11/2008 3:20,24.7,<0>,3,<0>,,<-1>
gtmpcnut,11/11/2008 5:50,34.7,<0>,3.8,<0>,,<-1>
gtmssnut,11/11/2008 7:20,64.6,<0>,6.5,<0>,0.8,<0>
gtmssnut,11/11/2008 7:21,67.2,<0>,6.5,<0>,0.8,<0>
gtmpcnut,11/11/2008 8:20,75.3,<0>,12,<0>,,<-1>
gtmpinut,11/11/2008 8:21,48.4,<0>,5.6,<0>,0.8,<0>
gtmpinut,11/11/2008 8:22,50.6,<0>,5.3,<0>,0.8,<0>
gtmfmnut,11/11/2008 10:06,62,<0>,9.5,<0>,0.9,<0>
gtmfmnut,11/11/2008 10:07,65.8,<0>,8.8,<0>,0.9,<0>
gtmpcnut,11/11/2008 10:50,70.3,<0>,7,<0>,,<-1>
gtmpcnut,11/11/2008 11:21,,<-2> [GDM],9,<0>,0.8,<0>
gtmpcnut,11/11/2008 11:22,73.7,<0>,8.8,<0>,0.8,<0>
gtmpcnut,12/15/2008 10:56,32,<1> (CHB),7.1,<0>,,<-1>
gtmpcnut,12/15/2008 13:26,43.7,<1> (CHB),9.4,<0>,,<-1>
gtmpcnut,12/15/2008 15:56,35.3,<1> (CHB),8.4,<0>,,<-1>
gtmpcnut,12/15/2008 18:26,27.3,<1> (CHB),5.6,<0>,,<-1>
gtmpcnut,12/15/2008 20:56,13,<1> (CHB),4.6,<0>,,<-1>
gtmpcnut,12/15/2008 23:26,27.7,<1> (CHB),4.4,<0>,,<-1>
gtmpcnut,12/16/2008 1:56,37.3,<1> (CHB),6.3,<0>,,<-1>
gtmpcnut,12/16/2008 4:26,32.3,<1> (CHB),5.3,<0>,,<-1>
gtmpcnut,12/16/2008 6:56,25.3,<1> (CHB),4.4,<0>,,<-1>
gtmpcnut,12/16/2008 9:26,24.7,<1> (CHB),4.4,<0>,,<-1>
gtmpcnut,12/16/2008 11:56,36.7,<1> (CHB),7.8,<0>,,<-1>
gtmssnut,12/16/2008 12:01,64.4,<1> (CHB),3,<0>,1,<0>
gtmssnut,12/16/2008 12:02,45.6,<1> (CHB),3.1,<0>,1,<0>
gtmpinut,12/16/2008 12:52,27.2,<1> (CHB),3.3,<0>,1.3,<0>
gtmpinut,12/16/2008 12:53,25.2,<1> (CHB),3.1,<0>,1.3,<0>
gtmfmnut,12/16/2008 14:01,38,<1> (CHB),7,<0>,1.1,<0>
gtmfmnut,12/16/2008 14:02,48.2,<1> (CHB),7.2,<0>,1.1,<0>
gtmpcnut,12/16/2008 15:19,37.8,<1> (CHB),5.5,<0>,0.9,<0>
gtmpcnut,12/16/2008 15:20,42.2,<1> (CHB),3.8,<0>,0.9,<0>
gtmpcnut,1/26/2009 11:02,50.7,<0>,7.1,<0>,,<-1>
gtmpcnut,1/26/2009 13:32,34.7,<0>,6,<0>,,<-1>
gtmpcnut,1/26/2009 16:02,33,<0>,6.8,<0>,,<-1>
gtmpcnut,1/26/2009 18:32,22.7,<0>,4.9,<0>,,<-1>
gtmpcnut,1/26/2009 21:02,20.3,<0>,5.6,<0>,,<-1>
gtmpcnut,1/26/2009 23:32,40.3,<0>,5.8,<0>,,<-1>
gtmpcnut,1/27/2009 2:02,30.3,<0>,4.6,<0>,,<-1>
gtmpcnut,1/27/2009 4:32,23.3,<0>,3.8,<0>,,<-1>
gtmpcnut,1/27/2009 7:02,23.3,<0>,3.1,<0>,,<-1>
gtmpcnut,1/27/2009 9:32,27.7,<0>,4.9,<0>,,<-1>
gtmssnut,1/27/2009 9:45,29,<0>,2.6,<0>,2.5,<0>
gtmssnut,1/27/2009 9:46,28.8,<0>,2.4,<0>,2.5,<0>
gtmpinut,1/27/2009 10:51,24.8,<0>,4.1,<0>,1.7,<0>
gtmpinut,1/27/2009 10:52,21.6,<0>,2.9,<0>,1.7,<0>
gtmfmnut,1/27/2009 12:01,30.4,<0>,3.6,<0>,1.8,<0>
gtmfmnut,1/27/2009 12:02,29.8,<0>,3.8,<0>,1.8,<0>
gtmpcnut,1/27/2009 12:02,46,<0>,7.4,<0>,,<-1>
gtmpcnut,1/27/2009 13:02,82.3,<0>,8.6,<0>,0.9,<0>
gtmpcnut,1/27/2009 13:03,74.3,<0>,8.4,<0>,0.9,<0>
gtmpcnut,2/9/2009 11:09,38,<0>,7.8,<0>,,<-1>
gtmpcnut,2/9/2009 13:39,47.3,<0>,9.6,<0>,,<-1>
gtmpcnut,2/9/2009 16:09,34,<0>,6.1,<0>,,<-1>
gtmpcnut,2/9/2009 18:39,20.3,<0>,9.2,<0>,,<-1>
gtmpcnut,2/9/2009 21:09,21.7,<0>,8.3,<0>,,<-1>
gtmpcnut,2/9/2009 23:39,36.3,<0>,9.3,<0>,,<-1>
gtmpcnut,2/10/2009 2:09,37.7,<0>,10,<0>,,<-1>
gtmpcnut,2/10/2009 4:39,24,<0>,6.9,<0>,,<-1>
gtmpcnut,2/10/2009 7:09,25,<0>,5.7,<0>,,<-1>
gtmpcnut,2/10/2009 9:39,31,<0>,7.1,<0>,,<-1>
gtmpinut,2/10/2009 9:58,26,<0>,4.4,<0>,0.8,<0>
gtmpinut,2/10/2009 9:59,27,<0>,3.7,<0>,0.8,<0>
gtmssnut,2/10/2009 10:57,33.4,<0>,3.3,<0>,1.8,<0>
gtmssnut,2/10/2009 10:58,26.4,<0>,3,<0>,1.8,<0>
gtmfmnut,2/10/2009 11:48,42.2,<0>,4.6,<0>,1.5,<0>
gtmfmnut,2/10/2009 11:49,39.8,<0>,4.7,<0>,1.5,<0>
gtmpcnut,2/10/2009 12:09,48.7,<0>,8.3,<0>,,<-1>
gtmpcnut,2/10/2009 12:55,86.3,<0>,9.8,<0>,0.7,<0>
gtmpcnut,2/10/2009 12:56,81,<0>,9.7,<0>,0.7,<0>
gtmpcnut,3/9/2009 10:30,71.3,<0>,10.4,<0>,,<-1>
gtmpcnut,3/9/2009 13:00,59.3,<0>,7.5,<0>,,<-1>
gtmpcnut,3/9/2009 15:30,62.7,<0>,6.5,<0>,,<-1>
gtmpcnut,3/9/2009 18:00,57,<0>,6.3,<0>,,<-1>
gtmpcnut,3/9/2009 20:30,36.3,<0>,7.4,<0>,,<-1>
gtmpcnut,3/9/2009 23:00,69,<0>,8.8,<0>,,<-1>
gtmpcnut,3/10/2009 1:30,60,<0>,6.7,<0>,,<-1>
gtmpcnut,3/10/2009 4:00,38.7,<0>,4.7,<0>,,<-1>
gtmpcnut,3/10/2009 6:30,47.7,<0>,4.2,<0>,,<-1>
gtmpcnut,3/10/2009 9:00,43,<0>,5.3,<0>,,<-1>
gtmpinut,3/10/2009 9:33,54,<0>,4.1,<0>,1.5,<0>
gtmpinut,3/10/2009 9:34,55.2,<0>,3.8,<0>,1.5,<0>
gtmssnut,3/10/2009 10:25,49.2,<0>,6.3,<0>,1,<0>
gtmssnut,3/10/2009 10:26,71.6,<0>,6,<0>,1,<0>
gtmfmnut,3/10/2009 11:29,75.4,<0>,7.5,<0>,1,<0>
gtmfmnut,3/10/2009 11:30,72.4,<0>,6.9,<0>,1,<0>
gtmpcnut,3/10/2009 11:30,45.7,<0>,9.9,<0>,,<-1>
gtmpcnut,3/10/2009 12:32,36.8,<0>,6.5,<0>,1.1,<0>
gtmpcnut,3/10/2009 12:33,43.8,<0>,6.3,<0>,1.1,<0>
gtmpcnut,4/21/2009 10:05,35,<0>,10.6,<0>,,<-1>
gtmpcnut,4/21/2009 12:35,32.3,<0>,7.5,<0>,,<-1>
gtmpcnut,4/21/2009 15:05,37.7,<0>,8.2,<0>,,<-1>
gtmpcnut,4/21/2009 17:35,65.7,<0>,11.6,<0>,,<-1>
gtmpcnut,4/21/2009 20:05,48.3,<0>,11.6,<0>,,<-1>
gtmpcnut,4/21/2009 22:35,48.3,<0>,9.5,<0>,,<-1>
gtmpcnut,4/22/2009 1:05,45,<0>,8.8,<0>,,<-1>
gtmpcnut,4/22/2009 3:35,33.3,<0>,7.5,<0>,,<-1>
gtmpcnut,4/22/2009 6:05,39,<0>,8.4,<0>,,<-1>
gtmpinut,4/22/2009 8:21,22.8,<0>,4.5,<0>,1.2,<0>
gtmpinut,4/22/2009 8:22,21,<0>,5.1,<0>,1.2,<0>
gtmpcnut,4/22/2009 8:35,27,<0>,10.3,<0>,,<-1>
gtmssnut,4/22/2009 9:24,49.8,<0>,9.3,<0>,1,<0>
gtmssnut,4/22/2009 9:25,60,<0>,9,<0>,1,<0>
gtmfmnut,4/22/2009 10:17,30.8,<0>,5.2,<0>,1.2,<0>
gtmfmnut,4/22/2009 10:18,27.4,<0>,5.3,<0>,1.2,<0>
gtmpcnut,4/22/2009 11:05,46,<0>,9.7,<0>,,<-1>
gtmpcnut,4/22/2009 11:17,31.8,<0>,7.6,<0>,0.8,<0>
gtmpcnut,4/22/2009 11:18,29.6,<0>,8.1,<0>,0.8,<0>
gtmpcnut,5/11/2009 9:52,63.3,<0>,13.1,<0>,,<-1>
gtmpinut,5/11/2009 11:53,22,<0>,6.8,<0>,1,<0>
gtmpinut,5/11/2009 11:54,28,<0>,6.4,<0>,1,<0>
gtmpcnut,5/11/2009 12:22,53.3,<0>,14.1,<0>,,<-1>
gtmssnut,5/11/2009 13:15,64,<0>,10.1,<0>,0.7,<0>
gtmssnut,5/11/2009 13:16,46,<0>,10.3,<0>,0.7,<0>
gtmfmnut,5/11/2009 14:26,40,<0>,4.3,<0>,1,<0>
gtmfmnut,5/11/2009 14:27,26,<0>,5.3,<0>,1,<0>
gtmpcnut,5/11/2009 14:52,60,<0>,14.9,<0>,,<-1>
gtmpcnut,5/11/2009 15:39,52,<0>,11.9,<0>,0.4,<0>
gtmpcnut,5/11/2009 15:40,60,<0>,13.8,<0>,0.4,<0>
gtmpcnut,5/11/2009 17:22,40,<0>,13.5,<0>,,<-1>
gtmpcnut,5/11/2009 19:52,76.7,<0>,14.7,<0>,,<-1>
gtmpcnut,5/11/2009 22:22,43.3,<0>,12.2,<0>,,<-1>
gtmpcnut,5/12/2009 0:52,103.3,<0>,16.6,<0>,,<-1>
gtmpcnut,5/12/2009 3:22,63.3,<0>,12.4,<0>,,<-1>
gtmpcnut,5/12/2009 5:52,70,<0>,12.1,<0>,,<-1>
gtmpcnut,5/12/2009 8:22,70,<0>,9.7,<0>,,<-1>
gtmpcnut,5/12/2009 10:52,80,<0>,10.5,<0>,,<-1>
gtmpcnut,6/8/2009 12:55,0,<-4> [SBL],3.3,<0>,,<-1>
gtmpcnut,6/8/2009 15:25,3.3,<0>,2.5,<0>,,<-1>
gtmpcnut,6/8/2009 17:55,6.7,<0>,3.1,<0>,,<-1>
gtmpcnut,6/8/2009 20:25,0,<-4> [SBL],2.9,<0>,,<-1>
gtmpcnut,6/8/2009 22:55,16.7,<0>,5.7,<0>,,<-1>
gtmpcnut,6/9/2009 1:25,16.7,<0>,7.1,<0>,,<-1>
gtmpcnut,6/9/2009 3:55,13.3,<0>,4.9,<0>,,<-1>
gtmpcnut,6/9/2009 6:25,6.7,<0>,3.2,<0>,,<-1>
gtmpcnut,6/9/2009 8:55,0,<-4> [SBL],3.3,<0>,,<-1>
gtmpinut,6/9/2009 11:01,30,<0>,10.6,<0>,0.5,<0>
gtmpinut,6/9/2009 11:02,18,<0>,13.8,<0>,0.5,<0>
gtmpcnut,6/9/2009 11:25,6.7,<0>,4,<0>,,<-1>
gtmssnut,6/9/2009 12:06,38,<0>,12.9,<0>,0.6,<0>
gtmssnut,6/9/2009 12:07,72,<0>,13.8,<0>,0.6,<0>
gtmfmnut,6/9/2009 13:25,28,<0>,11,<0>,0.6,<0>
gtmfmnut,6/9/2009 13:26,28,<0>,9.6,<0>,0.6,<0>
gtmpcnut,6/9/2009 13:55,10,<0>,3.9,<0>,,<-1>
gtmpcnut,6/9/2009 15:01,3.3,<0>,3.4,<0>,0.3,<0>
gtmpcnut,6/9/2009 15:02,3.3,<0>,3.6,<0>,0.3,<0>
gtmpinut,7/21/2009 9:31,30.2,<0>,3.5,<0>,1.1,<0>
gtmpinut,7/21/2009 9:32,21.8,<0>,4.4,<0>,1.1,<0>
gtmpcnut,7/21/2009 10:20,42.7,<0>,12,<0>,,<-1>
gtmssnut,7/21/2009 10:46,68,<0>,8.4,<0>,0.9,<0>
gtmssnut,7/21/2009 10:47,64.8,<0>,7.9,<0>,0.9,<0>
gtmfmnut,7/21/2009 12:01,35,<0>,3.2,<0>,1.7,<0>
gtmfmnut,7/21/2009 12:02,26.8,<0>,3.1,<0>,1.7,<0>
gtmpcnut,7/21/2009 12:50,26.3,<0>,8.5,<0>,,<-1>
gtmpcnut,7/21/2009 13:35,27.2,<0>,9.9,<0>,0.4,<0>
gtmpcnut,7/21/2009 13:36,9,<1> (CHB),9.8,<0>,0.4,<0>
gtmpcnut,7/21/2009 15:20,14.7,<0>,6.8,<0>,,<-1>
gtmpcnut,7/21/2009 17:50,18,<0>,11.8,<0>,,<-1>
gtmpcnut,7/21/2009 20:20,56.3,<0>,15.8,<0>,,<-1>
gtmpcnut,7/21/2009 22:50,78.3,<0>,13.3,<0>,,<-1>
gtmpcnut,7/22/2009 1:20,37,<0>,10.5,<0>,,<-1>
gtmpcnut,7/22/2009 3:50,18.7,<0>,7.6,<0>,,<-1>
gtmpcnut,7/22/2009 6:20,11.7,<0>,6.2,<0>,,<-1>
gtmpcnut,7/22/2009 8:50,43,<0>,10.2,<0>,,<-1>
gtmpcnut,7/22/2009 11:20,68,<0>,13.1,<0>,,<-1>
gtmpcnut,8/3/2009 11:58,4.7,<0>,2.9,<0>,,<-1>
gtmpcnut,8/3/2009 14:28,6.3,<0>,5.8,<0>,,<-1>
gtmpcnut,8/3/2009 16:58,6.3,<0>,4.7,<0>,,<-1>
gtmpcnut,8/3/2009 19:28,3,<0>,5.8,<0>,,<-1>
gtmpcnut,8/3/2009 21:58,5.3,<0>,6.6,<0>,,<-1>
gtmpcnut,8/4/2009 0:28,3.7,<0>,4.1,<0>,,<-1>
gtmpcnut,8/4/2009 2:58,4.3,<0>,3.7,<0>,,<-1>
gtmpcnut,8/4/2009 5:28,3.7,<0>,3.2,<0>,,<-1>
gtmpcnut,8/4/2009 7:58,3,<0>,3.2,<0>,,<-1>
gtmpinut,8/4/2009 9:26,46,<0>,6,<0>,1,<0>
gtmpinut,8/4/2009 9:27,45.4,<0>,5.4,<0>,1,<0>
gtmpcnut,8/4/2009 10:28,1.3,<0>,3.2,<0>,,<-1>
gtmssnut,8/4/2009 11:01,47.6,<0>,3.3,<0>,1.5,<0>
gtmssnut,8/4/2009 11:02,51.4,<0>,3.6,<0>,1.5,<0>
gtmfmnut,8/4/2009 12:15,52.4,<0>,5.6,<0>,1.3,<0>
gtmfmnut,8/4/2009 12:16,24.2,<1> (CHB),6.7,<0>,1.3,<0>
gtmpcnut,8/4/2009 12:58,4.3,<0>,3,<0>,,<-1>
gtmpcnut,8/4/2009 13:38,3,<0>,3.5,<0>,0.2,<0>
gtmpcnut,8/4/2009 13:39,3,<0>,3.4,<0>,0.2,<0>
gtmpcnut,9/1/2009 11:30,14.3,<0>,4.6,<0>,,<-1>
gtmpcnut,9/1/2009 14:00,10,<0>,3.4,<0>,,<-1>
gtmpcnut,9/1/2009 16:30,5.3,<0>,2.5,<0>,,<-1>
gtmpcnut,9/1/2009 19:00,16.7,<0>,5.7,<0>,,<-1>
gtmpcnut,9/1/2009 21:30,23,<0>,9.2,<0>,,<-1>
gtmpcnut,9/2/2009 0:00,21.7,<0>,5.9,<0>,,<-1>
gtmpcnut,9/2/2009 2:30,16.7,<0>,8.1,<0>,,<-1>
gtmpcnut,9/2/2009 5:00,11.3,<0>,6.7,<0>,,<-1>
gtmpcnut,9/2/2009 7:30,4.3,<0>,4.4,<0>,,<-1>
gtmpinut,9/2/2009 9:26,23.6,<0>,5.1,<0>,1,<0>
gtmpinut,9/2/2009 9:27,25.2,<0>,5.5,<0>,1,<0>
gtmpcnut,9/2/2009 10:00,4.7,<0>,4.4,<0>,,<-1>
gtmssnut,9/2/2009 10:59,51.8,<0>,7.5,<0>,1,<0>
gtmssnut,9/2/2009 11:00,44.2,<0>,7,<0>,1,<0>
gtmfmnut,9/2/2009 12:10,22.4,<0>,3.3,<0>,1.3,<0>
gtmfmnut,9/2/2009 12:11,22.4,<0>,3.1,<0>,1.3,<0>
gtmpcnut,9/2/2009 12:30,8.3,<0>,6.9,<0>,,<-1>
gtmpcnut,9/2/2009 14:56,31,<0>,10.6,<0>,0.8,<0>
gtmpcnut,9/2/2009 14:57,28.7,<0>,10.7,<0>,0.8,<0>
gtmpcnut,10/13/2009 9:30,40.7,<0>,6.3,<0>,,<-1>
gtmpcnut,10/13/2009 12:00,38.7,<0>,5.8,<0>,,<-1>
gtmpcnut,10/13/2009 14:30,33,<0>,5.8,<0>,,<-1>
gtmpcnut,10/13/2009 17:00,48,<0>,9.4,<0>,,<-1>
gtmpcnut,10/13/2009 19:30,45.7,<0>,13.8,<0>,,<-1>
gtmpcnut,10/13/2009 22:00,43.3,<0>,8,<0>,,<-1>
gtmpcnut,10/14/2009 0:30,38.3,<0>,6.7,<0>,,<-1>
gtmpcnut,10/14/2009 3:00,32.7,<0>,4.2,<0>,,<-1>
gtmpcnut,10/14/2009 5:30,41.7,<0>,5.8,<0>,,<-1>
gtmpinut,10/14/2009 7:54,53.6,<0>,7.8,<0>,1.2,<0>
gtmpinut,10/14/2009 7:55,48.4,<0>,6.9,<0>,1.2,<0>
gtmpcnut,10/14/2009 8:00,50,<0>,6.9,<0>,,<-1>
gtmssnut,10/14/2009 9:28,44.2,<0>,9.1,<0>,0.8,<0>
