Station Code,DateTimeStamp,TSS,F_TSS,TURB_N,F_TURB_N,SECCHI,F_SECCHI
gtmpinut,10/7/2002 13:37,55,<4>,10.5,<4>,0.3,<4>
gtmpinut,10/7/2002 13:38,45,<4>,8.9,<4>,0.3,<4>
gtmpcnut,10/7/2002 13:45,,<-1>,4.3,<4>,,<-1>
gtmpcnut,10/7/2002 15:45,,<-1>,5.8,<4>,,<-1>
gtmfmnut,10/7/2002 16:25,57,<4>,10.4,<4>,0.8,<4>
gtmfmnut,10/7/2002 16:26,52,<4>,6.2,<4>,0.8,<4>
gtmpcnut,10/7/2002 17:45,,<-1>,4.1,<4>,,<-1>
gtmpcnut,10/7/2002 19:45,,<-1>,3,<4>,,<-1>
gtmpcnut,10/7/2002 21:45,,<-1>,4.1,<4>,,<-1>
gtmpcnut,10/7/2002 23:45,,<-1>,4.2,<4>,,<-1>
gtmpcnut,10/8/2002 1:45,,<-1>,3.4,<4>,,<-1>
gtmpcnut,10/8/2002 3:45,,<-1>,3.2,<4>,,<-1>
gtmpcnut,10/8/2002 5:45,,<-1>,3.3,<4>,,<-1>
gtmssnut,10/8/2002 15:45,74,<4>,19.7,<4>,0.6,<4>
gtmssnut,10/8/2002 15:46,56,<4>,15.7,<4>,0.6,<4>
gtmpcnut,10/8/2002 17:25,10,<4>,5.9,<4>,0.3,<4>
gtmpcnut,10/8/2002 17:26,21,<4>,4.9,<4>,0.3,<4>
gtmpcnut,11/4/2002 14:37,18,<4>,5.3,<4>,0.6,<4>
gtmpcnut,11/4/2002 14:38,18,<4>,2.2,<4>,0.6,<4>
gtmssnut,11/5/2002 13:05,48,<4>,8.3,<4>,0.6,<4>
gtmssnut,11/5/2002 13:06,48,<4>,2.9,<4>,0.6,<4>
gtmfmnut,11/5/2002 14:12,34,<4>,1.5,<4>,1.2,<4>
gtmfmnut,11/5/2002 14:13,32,<4>,1.4,<4>,1.2,<4>
gtmpcnut,11/9/2002 15:19,,<-1>,1.1,<4>,,<-1>
gtmpinut,11/9/2002 15:45,34,<4>,4.8,<4>,0,<4>
gtmpinut,11/9/2002 15:46,36,<4>,5.2,<4>,0,<4>
gtmpcnut,11/9/2002 17:49,,<-1>,4.5,<4>,,<-1>
gtmpcnut,11/9/2002 20:19,,<-1>,1.3,<4>,,<-1>
gtmpcnut,11/9/2002 22:49,,<-1>,3.3,<4>,,<-1>
gtmpcnut,11/10/2002 1:19,,<-1>,3.3,<4>,,<-1>
gtmpcnut,11/10/2002 3:49,,<-1>,2.4,<4>,,<-1>
gtmpcnut,11/10/2002 6:19,,<-1>,3.5,<4>,,<-1>
gtmpcnut,11/10/2002 8:49,,<-1>,3.5,<4>,,<-1>
gtmpcnut,11/10/2002 11:19,,<-1>,4.2,<4>,,<-1>
gtmpcnut,11/10/2002 13:49,,<-1>,3.2,<4>,,<-1>
gtmpcnut,11/10/2002 16:19,,<-1>,4.6,<4>,,<-1>
gtmpcnut,12/2/2002 14:20,23,<4>,3.7,<4>,0.9,<4>
gtmpcnut,12/2/2002 14:21,20,<4>,3.2,<4>,0.9,<4>
gtmpcnut,12/2/2002 14:20,,<-1>,7.4,<4>,,<-1>
gtmpcnut,12/2/2002 16:50,,<-1>,3.8,<4>,,<-1>
gtmpcnut,12/2/2002 19:20,,<-1>,0.9,<4>,,<-1>
gtmpcnut,12/2/2002 21:50,,<-1>,8.4,<4>,,<-1>
gtmpcnut,12/3/2002 0:20,,<-1>,4,<4>,,<-1>
gtmpcnut,12/3/2002 2:50,,<-1>,2.1,<4>,,<-1>
gtmpcnut,12/3/2002 5:20,,<-1>,3.4,<4>,,<-1>
gtmpcnut,12/3/2002 7:50,,<-1>,9.5,<4>,,<-1>
gtmpinut,12/3/2002 9:50,39,<4>,1.4,<4>,1.6,<4>
gtmpinut,12/3/2002 9:51,37,<4>,0.8,<4>,1.6,<4>
gtmpcnut,12/3/2002 10:20,,<-1>,5.7,<4>,,<-1>
gtmssnut,12/3/2002 11:40,41,<4>,1.5,<4>,1.2,<4>
gtmssnut,12/3/2002 11:41,51,<4>,2.6,<4>,1.2,<4>
gtmpcnut,12/3/2002 12:50,,<-1>,2.8,<4>,,<-1>
gtmfmnut,12/3/2002 13:00,38,<4>,1.3,<4>,2.1,<4>
gtmfmnut,12/3/2002 13:01,27,<4>,0.9,<4>,2.1,<4>
gtmpcnut,12/3/2002 15:20,,<-1>,2.3,<4>,,<-1>
gtmpcnut,1/22/2003 7:55,4,<4>,2.7,<4>,0.6,<4>
gtmpcnut,1/22/2003 7:56,5,<4>,4,<4>,0.6,<4>
gtmpcnut,1/22/2003 10:07,,<-1>,2.6,<4>,,<-1>
gtmpcnut,1/22/2003 12:37,,<-1>,3.2,<4>,,<-1>
gtmpinut,1/22/2003 14:45,25,<4>,4.5,<4>,0.9,<4>
gtmpinut,1/22/2003 14:46,25,<4>,4.8,<4>,0.9,<4>
gtmpcnut,1/22/2003 15:07,,<-1>,5.3,<4>,,<-1>
gtmssnut,1/22/2003 15:38,36,<4>,2.4,<4>,1.4,<4>
gtmssnut,1/22/2003 15:39,38,<4>,2.3,<4>,1.4,<4>
gtmfmnut,1/22/2003 16:40,40,<4>,3.3,<4>,1.6,<4>
gtmfmnut,1/22/2003 16:41,32,<4>,2.5,<4>,1.6,<4>
gtmpcnut,1/22/2003 17:37,,<-1>,4.7,<4>,,<-1>
gtmpcnut,1/22/2003 20:07,,<-1>,3.9,<4>,,<-1>
gtmpcnut,1/22/2003 22:37,,<-1>,3.8,<4>,,<-1>
gtmpcnut,1/23/2003 1:07,,<-1>,3.8,<4>,,<-1>
gtmpcnut,1/23/2003 3:37,,<-1>,4.5,<4>,,<-1>
gtmpcnut,1/23/2003 6:07,,<-1>,3.2,<4>,,<-1>
gtmpcnut,1/23/2003 8:37,,<-1>,2.9,<4>,,<-1>
gtmpcnut,1/23/2003 11:07,,<-1>,6.6,<4>,,<-1>
gtmpcnut,2/26/2003 8:10,17,<4>,5.5,<4>,0.4,<4>
gtmpcnut,2/26/2003 8:11,15,<4>,7.1,<4>,0.4,<4>
gtmfmnut,2/26/2003 9:16,39,<4>,0.5,<4>,1.7,<4>
gtmfmnut,2/26/2003 9:17,48,<4>,0.7,<4>,1.7,<4>
gtmssnut,2/26/2003 10:45,46,<4>,1.1,<4>,1.3,<4>
gtmssnut,2/26/2003 10:46,50,<4>,1.2,<4>,1.3,<4>
gtmpinut,2/26/2003 11:46,36,<4>,2.1,<4>,1,<4>
gtmpinut,2/26/2003 11:47,43,<4>,3.2,<4>,1,<4>
gtmpcnut,3/4/2003 10:35,,<-1>,3.2,<4>,,<-1>
gtmpcnut,3/4/2003 13:05,,<-1>,3.3,<4>,,<-1>
gtmpcnut,3/4/2003 15:35,,<-1>,4.4,<4>,,<-1>
gtmpcnut,3/4/2003 18:05,,<-1>,5.1,<4>,,<-1>
gtmpcnut,3/4/2003 20:35,,<-1>,4.2,<4>,,<-1>
gtmpcnut,3/4/2003 23:05,,<-1>,3.2,<4>,,<-1>
gtmpcnut,3/5/2003 1:35,,<-1>,2.5,<4>,,<-1>
gtmpcnut,3/5/2003 4:05,,<-1>,3.4,<4>,,<-1>
gtmpcnut,3/5/2003 6:35,,<-1>,3.3,<4>,,<-1>
gtmpcnut,3/5/2003 9:05,,<-1>,2.2,<4>,,<-1>
gtmpcnut,3/5/2003 11:35,,<-1>,3.2,<4>,,<-1>
gtmpcnut,3/22/2003 15:27,,<-1>,9.4,<4>,,<-1>
gtmpcnut,3/22/2003 15:28,22,<4>,7.8,<4>,0.5,<4>
gtmpcnut,3/22/2003 15:29,21,<4>,7.5,<4>,0.5,<4>
gtmpcnut,3/22/2003 17:57,,<-1>,5.2,<4>,,<-1>
gtmpcnut,3/22/2003 20:27,,<-1>,5,<4>,,<-1>
gtmpcnut,3/22/2003 22:57,,<-1>,4.5,<4>,,<-1>
gtmpcnut,3/23/2003 1:27,,<-1>,4.5,<4>,,<-1>
gtmpcnut,3/23/2003 3:57,,<-1>,8.4,<4>,,<-1>
gtmpcnut,3/23/2003 6:27,,<-1>,7,<4>,,<-1>
gtmpcnut,3/23/2003 8:57,,<-1>,5.7,<4>,,<-1>
gtmpcnut,3/23/2003 11:27,,<-1>,3.8,<4>,,<-1>
